Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,交易口數與契約金額,交易口數與契約金額,交易口數與契約金額,交易口數與契約金額,交易口數與契約金額,交易口數與契約金額,未平倉餘額,未平倉餘額,未平倉餘額,未平倉餘額,未平倉餘額,未平倉餘額
Unnamed: 0_level_1,Unnamed: 1_level_1,Unnamed: 2_level_1,多方,多方,空方,空方,多空淨額,多空淨額,多方,多方,空方,空方,多空淨額,多空淨額
序 號,商品 名稱,身份別,口數,契約 金額,口數,契約 金額,口數,契約 金額,口數,契約 金額,口數,契約 金額,口數,契約 金額
1,臺股期貨,自營商,5885,25309848,5360,23042708,525,2267140,3741,16039447,4706,20176397,-965,-4136950
1,臺股期貨,投信,419,1801494,1396,5999806,-977,-4198312,54661,235031368,11539,49615392,43122,185415976
1,臺股期貨,外資,44974,193645684,46640,200838111,-1666,-7192427,22266,95681198,62922,270391278,-40656,-174710080
2,電子期貨,自營商,79,369776,42,196495,37,173282,45,209853,97,452350,-52,-242497
2,電子期貨,投信,0,0,7,32760,-7,-32760,170,792778,0,0,170,792778
2,電子期貨,外資,400,1869693,488,2281222,-88,-411529,112,522301,356,1660170,-244,-1137869
3,金融期貨,自營商,184,385008,178,372480,6,12528,947,1986617,103,216073,844,1770544
3,金融期貨,投信,0,0,0,0,0,0,13,27271,0,0,13,27271
3,金融期貨,外資,370,774282,346,724048,24,50233,317,665003,135,283203,182,381800
4,小型臺指期貨,自營商,5475,5890798,5832,6259391,-357,-368592,2678,2865953,5780,6176362,-3102,-3310409
4,小型臺指期貨,投信,4,4292,0,0,4,4292,158,169842,18,19349,140,150493
4,小型臺指期貨,外資,75711,81498429,82591,88917043,-6880,-7418614,4905,5267105,5392,5791899,-487,-524794
5,微型臺指期貨,自營商,5827,1253265,13482,2897569,-7655,-1644304,6818,1455082,4592,981618,2226,473464
5,微型臺指期貨,投信,0,0,0,0,0,0,0,0,0,0,0,0
5,微型臺指期貨,外資,41611,8961596,46825,10081127,-5214,-1119532,1693,362959,13,2795,1680,360164
6,小型電子期貨,自營商,48,28074,46,26827,2,1247,28,16322,38,22151,-10,-5829
6,小型電子期貨,投信,0,0,0,0,0,0,88,51297,0,0,88,51297
6,小型電子期貨,外資,738,431713,843,493330,-105,-61617,14,8161,31,18071,-17,-9910
7,小型金融期貨,自營商,67,35094,24,12567,43,22527,113,59263,13,6818,100,52445
7,小型金融期貨,投信,0,0,0,0,0,0,0,0,0,0,0,0
7,小型金融期貨,外資,116,60700,99,51810,17,8890,38,19929,0,0,38,19929
8,股票期貨,自營商,23441,6086382,17273,3397681,6168,2688701,123732,43428432,46932,6632865,76800,36795567
8,股票期貨,投信,0,0,7,2129,-7,-2129,847,129794,306,41194,541,88600
8,股票期貨,外資,91454,28291137,112727,35478281,-21273,-7187144,52440,23547202,324037,115439496,-271597,-91892294
9,ETF期貨,自營商,3201,1498024,2645,927830,556,570194,14756,7258309,12610,3686973,2146,3571336
9,ETF期貨,投信,0,0,0,0,0,0,1070,245866,80,24896,990,220970
9,ETF期貨,外資,2398,1472405,3774,2392152,-1376,-919746,1939,1647042,24459,10501218,-22520,-8854176
10,櫃買指數期貨,自營商,0,0,0,0,0,0,0,0,0,0,0,0
10,櫃買指數期貨,投信,0,0,0,0,0,0,0,0,0,0,0,0
10,櫃買指數期貨,外資,0,0,0,0,0,0,0,0,0,0,0,0
11,非金電期貨,自營商,127,176714,73,101637,54,75077,55,76641,20,27683,35,48958
11,非金電期貨,投信,0,0,0,0,0,0,0,0,0,0,0,0
11,非金電期貨,外資,76,105949,90,125462,-14,-19513,0,0,23,32172,-23,-32172
12,富櫃200期貨,自營商,68,29812,15,6509,53,23304,0,0,22,9574,-22,-9574
12,富櫃200期貨,投信,0,0,0,0,0,0,68,29784,0,0,68,29784
12,富櫃200期貨,外資,0,0,0,0,0,0,0,0,0,0,0,0
13,臺灣中型100期貨,自營商,459,83088,467,84649,-8,-1561,58,10464,21,3805,37,6659
13,臺灣中型100期貨,投信,0,0,0,0,0,0,0,0,0,0,0,0
13,臺灣中型100期貨,外資,0,0,0,0,0,0,0,0,0,0,0,0
14,臺灣永續期貨,自營商,80,90078,80,90078,0,0,40,44973,40,44973,0,0
14,臺灣永續期貨,投信,0,0,0,0,0,0,0,0,0,0,0,0
14,臺灣永續期貨,外資,0,0,0,0,0,0,0,0,0,0,0,0
15,臺灣生技期貨,自營商,2,352,0,0,2,352,0,0,6,1056,-6,-1056
15,臺灣生技期貨,投信,0,0,0,0,0,0,0,0,0,0,0,0
15,臺灣生技期貨,外資,0,0,0,0,0,0,0,0,0,0,0,0
16,半導體30期貨,自營商,54,15472,67,19138,-13,-3666,1,281,8,2272,-7,-1991
16,半導體30期貨,投信,0,0,0,0,0,0,0,0,0,0,0,0
16,半導體30期貨,外資,13,3711,13,3710,0,1,0,0,0,0,0,0
17,航運期貨,自營商,8,1730,5,1073,3,657,12,2677,0,0,12,2677
17,航運期貨,投信,0,0,0,0,0,0,0,0,0,0,0,0
17,航運期貨,外資,0,0,0,0,0,0,0,0,0,0,0,0
18,東證期貨,自營商,63,34283,64,34827,-1,-544,0,0,27,14652,-27,-14652
18,東證期貨,投信,0,0,0,0,0,0,0,0,0,0,0,0
18,東證期貨,外資,0,0,1,542,-1,-542,0,0,1,543,-1,-543
19,美國標普500期貨,自營商,7,8275,1,1188,6,7087,6,7044,47,55176,-41,-48132
19,美國標普500期貨,投信,0,0,0,0,0,0,2,2348,0,0,2,2348
19,美國標普500期貨,外資,4,4741,12,14241,-8,-9500,417,493080,480,566871,-63,-73791
20,美國那斯達克100期貨,自營商,46,49215,48,51116,-2,-1900,6,6360,181,191851,-175,-185491
20,美國那斯達克100期貨,投信,0,0,0,0,0,0,2,2120,0,0,2,2120
20,美國那斯達克100期貨,外資,748,798692,844,898712,-96,-100020,965,1029269,434,464436,531,564833
21,美國道瓊期貨,自營商,5,4226,4,3359,1,867,0,0,43,36098,-43,-36098
21,美國道瓊期貨,投信,0,0,0,0,0,0,3,2518,0,0,3,2518
21,美國道瓊期貨,外資,127,107346,297,251279,-170,-143933,483,407330,438,369596,45,37734
22,美國費城半導體期貨,自營商,10,3941,5,1962,5,1979,70,27088,86,33292,-16,-6204
22,美國費城半導體期貨,投信,0,0,0,0,0,0,11,4246,0,0,11,4246
22,美國費城半導體期貨,外資,22,8607,18,7018,4,1589,362,139839,427,164893,-65,-25054
23,英國富時100期貨,自營商,22,9665,48,21101,-26,-11436,815,356612,32,14020,783,342592
23,英國富時100期貨,投信,0,0,0,0,0,0,0,0,0,0,0,0
23,英國富時100期貨,外資,60,26370,41,17981,19,8390,34,14886,0,0,34,14886
期貨 小計,期貨 小計,自營商,45158,41363120,45759,37550185,-601,3812939,153921,73851418,75404,38786059,78517,35065359
期貨 小計,期貨 小計,投信,423,1805786,1410,6034695,-987,-4228909,57093,236489232,11943,49700831,45150,186788401
期貨 小計,期貨 小計,外資,258822,318061055,295649,342576069,-36827,-24515014,85985,129805304,419148,405686641,-333163,-275881337
期貨合計,期貨合計,期貨合計,304403,361229961,342818,386160949,-38415,-24930984,296999,440145954,506495,494173531,-209496,-54027577
