Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,交易口數與契約金額,交易口數與契約金額,交易口數與契約金額,交易口數與契約金額,交易口數與契約金額,交易口數與契約金額,未平倉餘額,未平倉餘額,未平倉餘額,未平倉餘額,未平倉餘額,未平倉餘額
Unnamed: 0_level_1,Unnamed: 1_level_1,Unnamed: 2_level_1,多方,多方,空方,空方,多空淨額,多空淨額,多方,多方,空方,空方,多空淨額,多空淨額
序 號,商品 名稱,身份別,口數,契約 金額,口數,契約 金額,口數,契約 金額,口數,契約 金額,口數,契約 金額,口數,契約 金額
1,臺股期貨,自營商,15153,51112986,13973,47142331,1180,3970655,19975,67086035,6369,21379691,13606,45706344
1,臺股期貨,投信,168,566725,1488,5006339,-1320,-4439614,11987,40319473,17513,58906727,-5526,-18587254
1,臺股期貨,外資,84745,286116320,84494,285276479,251,839841,18110,60887957,36280,121928478,-18170,-61040521
2,電子期貨,自營商,244,771006,275,868275,-31,-97269,151,475193,349,1098373,-198,-623180
2,電子期貨,投信,0,0,4,12596,-4,-12596,185,582232,0,0,185,582232
2,電子期貨,外資,1288,4068306,1293,4085666,-5,-17360,1049,3301413,584,1837965,465,1463448
3,金融期貨,自營商,84,132831,54,85442,30,47389,447,708925,163,258280,284,450645
3,金融期貨,投信,0,0,0,0,0,0,24,38064,0,0,24,38064
3,金融期貨,外資,634,1002792,698,1103836,-64,-101043,509,807274,2307,3658902,-1798,-2851628
4,小型臺指期貨,自營商,22960,19373445,22962,19377346,-2,-3902,12630,10604774,9687,8120359,2943,2484415
4,小型臺指期貨,投信,0,0,7,5904,-7,-5904,244,205180,0,0,244,205180
4,小型臺指期貨,外資,129687,109486966,139441,117771405,-9754,-8284439,380,319415,19892,16726170,-19512,-16406755
5,小型電子期貨,自營商,835,332824,895,355535,-60,-22711,294,115655,531,208872,-237,-93217
5,小型電子期貨,投信,0,0,0,0,0,0,0,0,0,0,0,0
5,小型電子期貨,外資,1361,538898,1609,637229,-248,-98331,0,0,408,160507,-408,-160507
6,股票期貨,自營商,11023,2404660,13521,2330754,-2498,73906,73946,17365812,55178,8028759,18768,9337053
6,股票期貨,投信,0,0,0,0,0,0,0,0,0,0,0,0
6,股票期貨,外資,87801,21580666,89321,22212203,-1520,-631537,67977,22778629,298988,78051990,-231011,-55273361
7,ETF期貨,自營商,307,224838,426,383945,-119,-159107,1730,1419667,1891,935981,-161,483686
7,ETF期貨,投信,0,0,0,0,0,0,4972,4970580,3792,4959874,1180,10706
7,ETF期貨,外資,762,929188,751,905072,11,24116,3249,4355408,5474,5663914,-2225,-1308506
8,櫃買指數期貨,自營商,0,0,13,10670,-13,-10670,10,8146,96,78406,-86,-70260
8,櫃買指數期貨,投信,0,0,0,0,0,0,0,0,0,0,0,0
8,櫃買指數期貨,外資,0,0,0,0,0,0,0,0,0,0,0,0
9,非金電期貨,自營商,97,162436,98,164117,-1,-1682,115,192646,40,66943,75,125703
9,非金電期貨,投信,0,0,0,0,0,0,2,3351,0,0,2,3351
9,非金電期貨,外資,60,100627,77,129118,-17,-28491,5,8379,110,184327,-105,-175948
10,富櫃200期貨,自營商,27,11699,24,10385,3,1314,66,28381,37,15910,29,12471
10,富櫃200期貨,投信,0,0,0,0,0,0,30,12900,0,0,30,12900
10,富櫃200期貨,外資,0,0,0,0,0,0,0,0,42,18060,-42,-18060
11,臺灣永續期貨,自營商,0,0,0,0,0,0,0,0,36,30739,-36,-30739
11,臺灣永續期貨,投信,0,0,0,0,0,0,35,29887,0,0,35,29887
11,臺灣永續期貨,外資,0,0,0,0,0,0,0,0,0,0,0,0
12,臺灣生技期貨,自營商,2,429,2,430,0,-1,0,0,18,3864,-18,-3864
12,臺灣生技期貨,投信,0,0,0,0,0,0,0,0,0,0,0,0
12,臺灣生技期貨,外資,0,0,0,0,0,0,0,0,0,0,0,0
13,東證期貨,自營商,3,1221,85,34528,-82,-33307,0,0,396,161945,-396,-161945
13,東證期貨,投信,0,0,0,0,0,0,0,0,0,0,0,0
13,東證期貨,外資,125,50913,175,71413,-50,-20500,53,21665,56,22904,-3,-1239
14,美國標普500期貨,自營商,29,25389,70,61109,-41,-35720,17,14831,329,287250,-312,-272419
14,美國標普500期貨,投信,0,0,0,0,0,0,0,0,0,0,0,0
14,美國標普500期貨,外資,104,90829,56,48984,48,41844,11,9604,80,69829,-69,-60225
15,美國那斯達克100期貨,自營商,239,177606,476,354676,-237,-177070,67,49743,1156,858446,-1089,-808703
15,美國那斯達克100期貨,投信,0,0,0,0,0,0,0,0,0,0,0,0
15,美國那斯達克100期貨,外資,2047,1524401,2101,1565310,-54,-40909,31,23009,42,31189,-11,-8180
16,美國道瓊期貨,自營商,236,162122,710,488190,-474,-326068,364,250141,9,6172,355,243969
16,美國道瓊期貨,投信,0,0,0,0,0,0,0,0,0,0,0,0
16,美國道瓊期貨,外資,3119,2148096,3110,2142286,9,5811,290,199189,1,687,289,198502
17,英國富時100期貨,自營商,66,22973,102,35494,-36,-12521,0,0,312,109133,-312,-109133
17,英國富時100期貨,投信,0,0,0,0,0,0,0,0,0,0,0,0
17,英國富時100期貨,外資,79,27590,51,17851,28,9739,141,49258,21,7353,120,41905
期貨 小計,期貨 小計,自營商,51310,74923108,53702,71724494,-2392,3198612,109819,98329262,76649,41718328,33170,56610934
期貨 小計,期貨 小計,投信,168,566725,1499,5024839,-1331,-4458114,17479,46161667,21305,63866601,-3826,-17704934
期貨 小計,期貨 小計,外資,311812,427665592,323177,435966852,-11365,-8301259,91805,92761200,364285,228362275,-272480,-135601075
期貨合計,期貨合計,期貨合計,363290,503155425,378378,512716185,-15088,-9560761,219103,237252129,462239,333947204,-243136,-96695075
