Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,交易口數與契約金額,交易口數與契約金額,交易口數與契約金額,交易口數與契約金額,交易口數與契約金額,交易口數與契約金額,未平倉餘額,未平倉餘額,未平倉餘額,未平倉餘額,未平倉餘額,未平倉餘額
Unnamed: 0_level_1,Unnamed: 1_level_1,Unnamed: 2_level_1,多方,多方,空方,空方,多空淨額,多空淨額,多方,多方,空方,空方,多空淨額,多空淨額
序 號,商品 名稱,身份別,口數,契約 金額,口數,契約 金額,口數,契約 金額,口數,契約 金額,口數,契約 金額,口數,契約 金額
1,臺股期貨,自營商,4026,18821955,4995,23347635,-969,-4525681,4791,22454725,7059,33079595,-2268,-10624870
1,臺股期貨,投信,166,777900,236,1105598,-70,-327698,30069,140891306,5450,25536520,24619,115354786
1,臺股期貨,外資,30661,143150933,29699,138674963,962,4475970,19299,90430421,49161,230352149,-29862,-139921728
2,電子期貨,自營商,33,171934,30,156691,3,15243,79,413241,166,868310,-87,-455069
2,電子期貨,投信,0,0,0,0,0,0,224,1171654,10,52306,214,1119348
2,電子期貨,外資,264,1377420,246,1283530,18,93890,264,1380878,498,2604839,-234,-1223961
3,金融期貨,自營商,15,32048,19,40596,-4,-8548,67,143028,87,185680,-20,-42652
3,金融期貨,投信,0,0,0,0,0,0,23,49087,0,0,23,49087
3,金融期貨,外資,85,181713,123,262862,-38,-81150,126,268909,400,853680,-274,-584771
4,小型臺指期貨,自營商,7104,8301846,6363,7434330,741,867516,5611,6579546,11627,13620733,-6016,-7041187
4,小型臺指期貨,投信,5,5846,5,5858,0,-12,170,199138,14,16400,156,182738
4,小型臺指期貨,外資,54088,63118127,52567,61340228,1521,1777899,6885,8065526,3095,3625542,3790,4439984
5,微型臺指期貨,自營商,9478,2214813,4336,1012307,5142,1202505,3546,831967,17128,4012952,-13582,-3180985
5,微型臺指期貨,投信,0,0,0,0,0,0,0,0,0,0,0,0
5,微型臺指期貨,外資,28496,6650644,24418,5695856,4078,954788,2085,488542,487,114094,1598,374448
6,小型電子期貨,自營商,59,38446,46,29925,13,8521,164,107268,127,83036,37,24232
6,小型電子期貨,投信,0,0,0,0,0,0,111,72575,0,0,111,72575
6,小型電子期貨,外資,692,450439,641,417291,51,33147,243,158879,82,53614,161,105265
7,小型金融期貨,自營商,0,0,28,14958,-28,-14958,43,22943,17,9075,26,13868
7,小型金融期貨,投信,0,0,0,0,0,0,0,0,0,0,0,0
7,小型金融期貨,外資,35,18704,47,25113,-12,-6409,1,534,1,534,0,0
8,股票期貨,自營商,15144,3787054,17495,5205886,-2351,-1418832,58502,16522354,185916,64989583,-127414,-48467229
8,股票期貨,投信,25,2049,41,4498,-16,-2449,226,610500,549,108555,-323,501945
8,股票期貨,外資,94661,34089921,98617,34168800,-3956,-78880,122071,70545253,261336,108186074,-139265,-37640821
9,ETF期貨,自營商,2510,906691,2728,1174448,-218,-267756,7878,3276782,65556,20730331,-57678,-17453549
9,ETF期貨,投信,0,0,0,0,0,0,2616,3301970,2180,4197000,436,-895030
9,ETF期貨,外資,2262,1855274,1020,1203639,1242,651635,1727,3123334,6799,3200975,-5072,-77641
10,櫃買指數期貨,自營商,0,0,0,0,0,0,0,0,0,0,0,0
10,櫃買指數期貨,投信,0,0,0,0,0,0,0,0,0,0,0,0
10,櫃買指數期貨,外資,0,0,0,0,0,0,0,0,0,0,0,0
11,非金電期貨,自營商,32,45731,18,25732,14,19999,53,75583,127,181115,-74,-105532
11,非金電期貨,投信,0,0,0,0,0,0,0,0,0,0,0,0
11,非金電期貨,外資,9,12855,12,17148,-3,-4293,74,105531,0,0,74,105531
12,富櫃200期貨,自營商,6,3022,5,2518,1,504,8,4040,0,0,8,4040
12,富櫃200期貨,投信,2,1010,0,0,2,1010,39,19697,0,0,39,19697
12,富櫃200期貨,外資,0,0,0,0,0,0,2,1010,0,0,2,1010
13,臺灣中型100期貨,自營商,1133,218663,1101,212569,32,6094,534,103615,404,78393,130,25222
13,臺灣中型100期貨,投信,0,0,0,0,0,0,0,0,0,0,0,0
13,臺灣中型100期貨,外資,0,0,0,0,0,0,0,0,0,0,0,0
14,臺灣永續期貨,自營商,30,36781,30,36781,0,0,109,133867,109,133867,0,0
14,臺灣永續期貨,投信,0,0,0,0,0,0,0,0,0,0,0,0
14,臺灣永續期貨,外資,0,0,0,0,0,0,0,0,0,0,0,0
15,臺灣生技期貨,自營商,0,0,0,0,0,0,4,811,2,406,2,405
15,臺灣生技期貨,投信,0,0,0,0,0,0,0,0,0,0,0,0
15,臺灣生技期貨,外資,0,0,0,0,0,0,0,0,0,0,0,0
16,半導體30期貨,自營商,98,30847,96,30198,2,650,29,9219,93,29502,-64,-20283
16,半導體30期貨,投信,0,0,0,0,0,0,0,0,0,0,0,0
16,半導體30期貨,外資,13,4099,13,4102,0,-3,0,0,0,0,0,0
17,航運期貨,自營商,2,382,0,0,2,382,13,2498,0,0,13,2498
17,航運期貨,投信,0,0,0,0,0,0,0,0,0,0,0,0
17,航運期貨,外資,0,0,0,0,0,0,0,0,0,0,0,0
18,東證期貨,自營商,48,26400,29,15936,19,10465,1,549,15,8226,-14,-7677
18,東證期貨,投信,0,0,0,0,0,0,0,0,0,0,0,0
18,東證期貨,外資,60,33003,102,56084,-42,-23081,0,0,86,47168,-86,-47168
19,美國標普500期貨,自營商,21,25628,0,0,21,25628,0,0,53,64716,-53,-64716
19,美國標普500期貨,投信,0,0,0,0,0,0,1,1221,0,0,1,1221
19,美國標普500期貨,外資,12,14652,33,40280,-21,-25628,23,28326,851,1040017,-828,-1011691
20,美國那斯達克100期貨,自營商,87,95010,89,97271,-2,-2262,0,0,324,354375,-324,-354375
20,美國那斯達克100期貨,投信,23,25163,0,0,23,25163,27,29531,0,0,27,29531
20,美國那斯達克100期貨,外資,987,1076715,1019,1111345,-32,-34629,105,116032,1865,2041044,-1760,-1925012
21,美國道瓊期貨,自營商,4,3585,23,20680,-19,-17094,0,0,6,5379,-6,-5379
21,美國道瓊期貨,投信,0,0,0,0,0,0,2,1793,0,0,2,1793
21,美國道瓊期貨,外資,250,225037,360,323771,-110,-98734,711,638011,199,178856,512,459155
22,美國費城半導體期貨,自營商,36,14745,43,17568,-7,-2823,519,213620,61,25207,458,188413
22,美國費城半導體期貨,投信,0,0,0,0,0,0,15,6174,0,0,15,6174
22,美國費城半導體期貨,外資,103,42053,101,41257,2,796,106,43723,1059,435919,-953,-392196
23,英國富時100期貨,自營商,64,27834,49,21273,15,6561,145,62945,16,6963,129,55982
23,英國富時100期貨,投信,0,0,0,0,0,0,0,0,0,0,0,0
23,英國富時100期貨,外資,18,7795,33,14356,-15,-6561,69,29977,0,0,69,29977
期貨 小計,期貨 小計,自營商,39930,34803415,37523,38897302,2407,-4093886,82096,50958601,288893,138467444,-206797,-87508843
期貨 小計,期貨 小計,投信,221,811968,282,1115954,-61,-303986,33523,146354646,8203,29910781,25320,116443865
期貨 小計,期貨 小計,外資,212696,252309384,209051,244680625,3645,7628757,153791,175424886,325919,352734505,-172128,-177309619
期貨合計,期貨合計,期貨合計,252847,287924767,246856,284693881,5991,3230885,269410,372738133,623015,521112730,-353605,-148374597
