Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,交易口數與契約金額,交易口數與契約金額,交易口數與契約金額,交易口數與契約金額,交易口數與契約金額,交易口數與契約金額
Unnamed: 0_level_1,Unnamed: 1_level_1,Unnamed: 2_level_1,多方,多方,空方,空方,多空淨額,多空淨額
序 號,商品 名稱,身份別,口數,契約 金額,口數,契約 金額,口數,契約 金額
1,臺股期貨,自營商,3306,8846951,3889,10405010,-583,-1558059
1,臺股期貨,投信,0,0,0,0,0,0
1,臺股期貨,外資,40593,108660732,38897,104125832,1696,4534900
2,電子期貨,自營商,94,228639,112,271996,-18,-43357
2,電子期貨,投信,0,0,0,0,0,0
2,電子期貨,外資,184,446744,158,384188,26,62556
3,小型臺指期貨,自營商,5949,3978833,5666,3786946,283,191887
3,小型臺指期貨,投信,0,0,0,0,0,0
3,小型臺指期貨,外資,64280,43011980,63263,42331668,1017,680312
4,小型電子期貨,自營商,258,78330,316,95909,-58,-17579
4,小型電子期貨,投信,0,0,0,0,0,0
4,小型電子期貨,外資,320,97332,313,95209,7,2123
5,ETF期貨,自營商,76,78357,60,61786,16,16571
5,ETF期貨,投信,0,0,0,0,0,0
5,ETF期貨,外資,7,7248,7,7240,0,8
6,半導體30期貨,自營商,163,25078,159,24453,4,625
6,半導體30期貨,投信,0,0,0,0,0,0
6,半導體30期貨,外資,31,4772,31,4766,0,6
7,美國標普500期貨,自營商,0,0,0,0,0,0
7,美國標普500期貨,投信,0,0,0,0,0,0
7,美國標普500期貨,外資,23,16903,33,24119,-10,-7216
8,美國那斯達克100期貨,自營商,18,10041,18,10043,0,-2
8,美國那斯達克100期貨,投信,0,0,0,0,0,0
8,美國那斯達克100期貨,外資,2404,1353700,2599,1459090,-195,-105390
9,美國道瓊期貨,自營商,0,0,0,0,0,0
9,美國道瓊期貨,投信,0,0,0,0,0,0
9,美國道瓊期貨,外資,1624,950793,1842,1076990,-218,-126197
10,英國富時100期貨,自營商,157,54200,115,39702,42,14498
10,英國富時100期貨,投信,0,0,0,0,0,0
10,英國富時100期貨,外資,254,87675,318,109466,-64,-21791
期貨 小計,期貨 小計,自營商,10021,13300429,10335,14695845,-314,-1395416
期貨 小計,期貨 小計,投信,0,0,0,0,0,0
期貨 小計,期貨 小計,外資,109720,154637879,107461,149618568,2259,5019311
期貨合計,期貨合計,期貨合計,119741,167938308,117796,164314413,1945,3623895
