日期,自營商多,自營商空,自營商多空淨額,投信多,投信空,投信多空淨額,外資多,外資空,外資多空淨額
20210104,27483,5910,21573,12858,25023,-12165,47304,57524,-10220
20210105,28458,6224,22234,12852,25091,-12239,47213,58138,-10925
20210106,28872,7036,21836,12893,25013,-12120,47161,58291,-11130
20210107,29952,6675,23277,12945,23913,-10968,48671,61467,-12796
20210108,29659,6595,23064,12971,23137,-10166,51101,66427,-15326
20210111,31217,7287,23930,12994,23112,-10118,50064,68908,-18844
20210112,31890,8541,23349,12920,23119,-10199,52701,71902,-19201
20210113,31078,7378,23700,13051,22457,-9406,53259,74794,-21535
20210114,33241,8096,25145,13067,22699,-9632,49059,77177,-28118
20210115,32449,7733,24716,13029,22511,-9482,45754,70606,-24852
20210118,33041,6716,26325,12966,22616,-9650,48758,76741,-27983
20210119,32007,5739,26268,13225,21902,-8677,39270,69252,-29982
20210120,25776,4645,21131,13104,22325,-9221,33210,49927,-16717
20210121,26331,4736,21595,13036,21045,-8009,30347,50928,-20581
20210122,27528,4502,23026,13286,21602,-8316,29227,56778,-27551
20210125,28482,4817,23665,13142,21865,-8723,29970,59093,-29123
20210126,28718,5900,22818,12876,22833,-9957,30505,58009,-27504
20210127,27430,5862,21568,12761,22822,-10061,31457,59563,-28106
20210128,27533,6511,21022,12346,23259,-10913,31669,59476,-27807
20210129,28592,7686,20906,12070,24133,-12063,35390,52756,-17366
20210201,28105,7022,21083,12262,23356,-11094,34878,54502,-19624
20210202,28331,7458,20873,12566,21986,-9420,35017,53872,-18855
20210203,27890,5568,22322,12552,21984,-9432,29485,51227,-21742
20210204,28533,6519,22014,12539,22421,-9882,30951,51840,-20889
20210205,27939,5740,22199,12490,21986,-9496,33261,55922,-22661
20210217,24698,4244,20454,13015,20256,-7241,26950,43941,-16991
20210218,25192,3956,21236,13011,19733,-6722,26203,49352,-23149
20210219,25918,4415,21503,12860,19952,-7092,25014,46952,-21938
20210222,26423,3862,22561,12999,19936,-6937,23744,49931,-26187
20210223,26651,4493,22158,13013,19725,-6712,24750,52542,-27792
20210224,25769,4697,21072,12845,20380,-7535,24216,53364,-29148
20210225,25909,5080,20829,13261,19837,-6576,25137,53619,-28482
20210226,27163,7038,20125,13281,20842,-7561,26163,55598,-29435
20210302,27215,7314,19901,13238,21042,-7804,29050,53803,-24753
20210303,25960,6747,19213,13368,20496,-7128,26876,51837,-24961
20210304,26170,7232,18938,13386,21149,-7763,26287,50037,-23750
20210305,26515,7565,18950,13296,21575,-8279,26186,51881,-25695
20210308,26916,8409,18507,13247,21569,-8322,27958,48152,-20194
20210309,27834,8826,19008,13405,21373,-7968,26092,50017,-23925
20210310,26172,6794,19378,13400,21362,-7962,26178,47858,-21680
20210311,25512,6054,19458,13739,20291,-6552,24513,51651,-27138
20210312,26859,5796,21063,13748,20286,-6538,22916,51775,-28859
20210315,28255,6989,21266,13750,20290,-6540,24368,54673,-30305
20210316,27877,8088,19789,13950,20272,-6322,28249,55150,-26901
20210317,26272,3127,23145,13872,20288,-6416,21981,49331,-27350
20210318,26148,3684,22464,13896,20265,-6369,22522,49236,-26714
20210319,27759,4597,23162,13406,20311,-6905,22187,49580,-27393
20210322,27001,4236,22765,13467,19892,-6425,22377,47330,-24953
20210323,28479,4606,23873,14052,19891,-5839,21278,47255,-25977
20210324,28710,4864,23846,13898,20424,-6526,20568,48786,-28218
20210325,28127,4662,23465,13957,20424,-6467,21208,46313,-25105
20210326,27619,4177,23442,14273,19662,-5389,25493,48328,-22835
20210329,27812,4569,23243,14355,19645,-5290,25129,45470,-20341
20210330,27764,4797,22967,14314,19337,-5023,26057,45422,-19365
20210331,28076,5013,23063,14159,19555,-5396,23734,45113,-21379
20210401,26987,4539,22448,14099,19337,-5238,24704,44520,-19816
